,title,authors
0,Investigating Older Adults’ Attitudes towards Crisis Informatics Tools: Opportunities for Enhancing Community Resilience during Disasters,"[('Nurul M Suhaimi', '/profile/99659109063'), ('Yixuan Zhang', '/profile/99659723371'), ('Mary Joseph', '/profile/99659528705'), ('Miso Kim', '/profile/99659526540'), ('Andrea G Parker', '/profile/81556858356'), ('Jacqueline Griffin', '/profile/99659121142')]"
1,A longitudinal study of IP Anycast,"[('Danilo Cicalese', '/profile/99659078012'), ('Dario Rossi', '/profile/81336492506')]"
2,Multiservice UAVs for Emergency Tasks in Post-disaster Scenarios,"[('Francesco Malandrino', '/profile/81418598897'), ('Cristina Rottondi', '/profile/83458796257'), ('Carla-Fabiana Chiasserini', '/profile/81100011731'), ('Andrea Bianco', '/profile/81100305196'), ('Ioannis Stavrakakis', '/profile/81100309658')]"
3,Learning Social Meta-knowledge for Nowcasting Human Mobility in Disaster,"[('Renhe Jiang', '/author/Jiang%2C+Renhe'), ('Zhaonan Wang', '/author/Wang%2C+Zhaonan'), ('Yudong Tao', '/author/Tao%2C+Yudong'), ('Chuang Yang', '/profile/99659535399'), ('Xuan Song', '/author/Song%2C+Xuan'), ('Ryosuke Shibasaki', '/author/Shibasaki%2C+Ryosuke'), ('Shu-Ching Chen', '/author/Chen%2C+Shu-Ching'), ('Mei-Ling Shyu', '/author/Shyu%2C+Mei-Ling')]"
4,Multiservice UAVs for Emergency Tasks in Post-disaster Scenarios,"[('Francesco Malandrino', '/profile/81418598897'), ('Cristina Rottondi', '/profile/83458796257'), ('Carla-Fabiana Chiasserini', '/profile/81100011731'), ('Andrea Bianco', '/profile/81100305196'), ('Ioannis Stavrakakis', '/profile/81100309658')]"
5,Disaster recovery mechanism using widely distributed networking and secure metadata handling technology,"[('Yoichiro Ueno', '/profile/81435595567'), ('Noriharu Miyaho', '/profile/81100001824'), ('Shuichi Suzuki', '/profile/81444592680')]"
6,"Session details: Research papers and management, case study & policy papers: emergency response and disaster management","[('Laura Steinberg', '/profile/81351591839')]"
7,Combining Big Social Media Data and FCA for Crisis Response,"[('Helen Gibson', '/profile/81490641510'), ('Simon Andrews', '/profile/81472652979'), ('Konstantinos Domdouzis', '/profile/81338488132'), ('Laurence Hirsch', '/profile/81333488717'), ('Babak Akhgar', '/profile/81363591156')]"
8,Statistical inference of internal network loss and topology,"[('R. Cáceres', '/profile/81100464750'), ('N. G. Duffield', '/profile/81100151464'), ('J. Horowitz', '/profile/81341491501'), ('F. Lo Presti', '/profile/81100366679'), ('D. Towsley', '/profile/81405594423')]"
9,Economic Crisis and Enterprise Systems Adoption,"[('Niki Kyriakou', '/profile/99658702255'), ('Euripidis Loukis', '/profile/81336491061'), ('Alexandra Papanikou', '/profile/99660014793')]"
10,Error Resilient In-Memory Computing Architecture for CNN Inference on the Edge,"[('Marco Rios', '/profile/99659758458'), ('Flavio Ponzina', '/profile/99660429775'), ('Giovanni Ansaloni', '/profile/81381608371'), ('Alexandre Levisse', '/profile/99659370295'), ('David Atienza', '/profile/81100090363')]"
11,Situation awareness via information hovering in post-disaster communications,"[('Gaetano Manzo', '/profile/99659037968'), ('Flavien Bonvin', '/profile/99659514115'), ('Christian Esposito', '/profile/81100065729'), ('Torsten Braun', '/profile/81100147674'), ('Gianluca Rizzo', '/profile/81548032781')]"
12,Communication Behavior in an Emerging Democracy,"[('Andrea Kavanaugh', '/profile/81100171026'), ('Ziqian Song', '/profile/99659174055'), ('Liuqing Li', '/profile/99659440182'), ('Edward Fox', '/profile/81339500009')]"
13,Emergent Communication under Competition,"[('Michael Noukhovitch', '/profile/99659694814'), ('Travis LaCroix', '/profile/99659695089'), ('Angeliki Lazaridou', '/profile/81485659419'), ('Aaron Courville', '/profile/81100464337')]"
14,Emergent Communication under Competition,"[('Michael Noukhovitch', '/profile/99659694814'), ('Travis LaCroix', '/profile/99659695089'), ('Angeliki Lazaridou', '/profile/81485659419'), ('Aaron Courville', '/profile/81100464337')]"
15,A reliable messaging middleware for financial institutions,"[('Yuting Chen', '/profile/99659241385'), ('Ting Mao', '/profile/99659241582'), ('Bo Yu', '/profile/99659241599')]"
16,Upvoting hurricane Sandy: event-based news production processes on a social news site,"[('Alex Leavitt', '/profile/87958825357'), ('Joshua A. Clark', '/profile/87959165857')]"
17,PRCBERT: Prompt Learning for Requirement Classification using BERT-based Pretrained Language Models,"[('Xianchang Luo', '/profile/99660688623'), ('Yinxing Xue', '/profile/99658698378'), ('Zhenchang Xing', '/profile/81550494556'), ('Jiamou Sun', '/profile/99660688325')]"
18,Reliability-Aware Multi-UAV Coverage Path Planning using a Genetic Algorithm,"[('Mickey Li', '/profile/99659694910'), ('Arthur Richards', '/profile/81496641971'), ('Mahesh Sooriyabandara', '/profile/81338490942')]"
19,Analysis of Message Propagation for Intelligent Disaster Management through Vehicular Cloud Network,"[('Ram Shringar Raw', '/profile/81488673031'), (' Loveleen', '/profile/99659068753'), ('Arvind Kumar', '/profile/99659068137'), ('Arushi Kadam', '/profile/99659067675'), ('Nanhay Singh', '/profile/99659068699')]"
20,Designing an emergent culture of negotiation in collaborative virtual communities: the case of the DomeCityMOO,"[('Elaine M. Raybourn', '/profile/81100078614')]"
21,Post-crisis domestic procurement network to facilitate humanitarian assistance: a case of Sudan,"[('Weixi Gong', '/profile/81100009736')]"
22,A resilient communication structure for local area networks,"[('Amr El Abbadi', '/profile/81100403960'), ('Thomas Rauchle', '/profile/81384621193')]"
23,"Designing Multiagent Decision Support System "" The Case of Transportation Management","[('S. Ossowski', '/profile/81100056520'), ('A. Fernandez', '/profile/81100386964'), ('J. M. Serrano', '/profile/81100128045'), ('J. L. Perez-de-la-Cruz', '/profile/81100312137'), ('M. V. Belmonte', '/profile/81100592282'), ('J. Z. Hernandez', '/profile/81100254795'), ('A. M. Garcia-Serrano', '/profile/81100538266'), ('J. M. Maseda', '/profile/81100300069')]"
24,HTML: Hierarchical Transformer-based Multi-task Learning for Volatility Prediction,"[('Linyi Yang', '/profile/99659535879'), ('Tin Lok James Ng', '/profile/99659535551'), ('Barry Smyth', '/profile/81100297638'), ('Riuhai Dong', '/profile/99659537983')]"
25,Improved algorithms for population recovery from the deletion channel,"[('Shyam Narayanan', '/profile/99659689773')]"
26,Compact native code generation for dynamic languages on micro-core architectures,"[('Maurice Jamieson', '/profile/99659676585'), ('Nick Brown', '/profile/81553102056')]"
27,Improving Humanitarian Aid Information Management Workflow for Disaster Relief Team,"[('Suzila Mohd', '/profile/99659669571'), ('Mohamad Syazli Fathi', '/profile/81557915456'), ('Aizul Nahar Harun', '/profile/99659670486')]"
28,Cloud Computing Operation Management Platform for Internet of Things of Construction Machinery,"[('Lei Wu', '/profile/99660026591'), ('Xianjin Lin', '/profile/99660044960')]"
29,Emergent Communication under Competition,"[('Michael Noukhovitch', '/profile/99659694814'), ('Travis LaCroix', '/profile/99659695089'), ('Angeliki Lazaridou', '/profile/81485659419'), ('Aaron Courville', '/profile/81100464337')]"
30,Representation of humanitarian aid/disaster relief missions with an agent based model to analyze optimal resource placement,"[('Andrew Turner', '/profile/99659397287'), ('Santiago Balestrini-Robinson', '/profile/81553176756'), ('Dimitri Mavris', '/profile/81100498103')]"
