,name,org,url,pub
0,Nurul M Suhaimi,University Malaysia Pahang,https://dl.acm.org/profile/99659109063,Investigating Older Adults’ Attitudes towards Crisis Informatics Tools: Opportunities for Enhancing Community Resilience during Disasters
1,Yixuan Zhang,Georgia Institute of Technology,https://dl.acm.org/profile/99659723371,Investigating Older Adults’ Attitudes towards Crisis Informatics Tools: Opportunities for Enhancing Community Resilience during Disasters
2,Mary Joseph,Northeastern University,https://dl.acm.org/profile/99659528705,Investigating Older Adults’ Attitudes towards Crisis Informatics Tools: Opportunities for Enhancing Community Resilience during Disasters
3,Miso Kim,Northeastern University,https://dl.acm.org/profile/99659526540,Investigating Older Adults’ Attitudes towards Crisis Informatics Tools: Opportunities for Enhancing Community Resilience during Disasters
4,Andrea G Parker,Emory University,https://dl.acm.org/profile/81556858356,Investigating Older Adults’ Attitudes towards Crisis Informatics Tools: Opportunities for Enhancing Community Resilience during Disasters
5,Jacqueline Griffin,Northeastern University,https://dl.acm.org/profile/99659121142,Investigating Older Adults’ Attitudes towards Crisis Informatics Tools: Opportunities for Enhancing Community Resilience during Disasters
6,Danilo Cicalese,"University of California, San Diego",https://dl.acm.org/profile/99659078012,A longitudinal study of IP Anycast
7,Dario Rossi,"Huawei Technologies Co., Ltd.",https://dl.acm.org/profile/81336492506,A longitudinal study of IP Anycast
8,Francesco Malandrino,Italian National Research Council,https://dl.acm.org/profile/81418598897,Multiservice UAVs for Emergency Tasks in Post-disaster Scenarios
9,Cristina Rottondi,Politecnico di Torino,https://dl.acm.org/profile/83458796257,Multiservice UAVs for Emergency Tasks in Post-disaster Scenarios
10,Carla-Fabiana Chiasserini,Italian National Research Council,https://dl.acm.org/profile/81100011731,Multiservice UAVs for Emergency Tasks in Post-disaster Scenarios
11,Andrea Bianco,Politecnico di Torino,https://dl.acm.org/profile/81100305196,Multiservice UAVs for Emergency Tasks in Post-disaster Scenarios
12,Ioannis Stavrakakis,National and Kapodistrian University of Athens,https://dl.acm.org/profile/81100309658,Multiservice UAVs for Emergency Tasks in Post-disaster Scenarios
13,Chuang Yang,The University of Tokyo,https://dl.acm.org/profile/99659535399,Learning Social Meta-knowledge for Nowcasting Human Mobility in Disaster
14,Francesco Malandrino,Italian National Research Council,https://dl.acm.org/profile/81418598897,Multiservice UAVs for Emergency Tasks in Post-disaster Scenarios
15,Cristina Rottondi,Politecnico di Torino,https://dl.acm.org/profile/83458796257,Multiservice UAVs for Emergency Tasks in Post-disaster Scenarios
16,Carla-Fabiana Chiasserini,Italian National Research Council,https://dl.acm.org/profile/81100011731,Multiservice UAVs for Emergency Tasks in Post-disaster Scenarios
17,Andrea Bianco,Politecnico di Torino,https://dl.acm.org/profile/81100305196,Multiservice UAVs for Emergency Tasks in Post-disaster Scenarios
18,Ioannis Stavrakakis,National and Kapodistrian University of Athens,https://dl.acm.org/profile/81100309658,Multiservice UAVs for Emergency Tasks in Post-disaster Scenarios
19,Yoichiro Ueno,Tokyo Denki University,https://dl.acm.org/profile/81435595567,Disaster recovery mechanism using widely distributed networking and secure metadata handling technology
20,Noriharu Miyaho,Tokyo Denki University,https://dl.acm.org/profile/81100001824,Disaster recovery mechanism using widely distributed networking and secure metadata handling technology
21,Shuichi Suzuki,Tokyo Denki University,https://dl.acm.org/profile/81444592680,Disaster recovery mechanism using widely distributed networking and secure metadata handling technology
22,Laura Steinberg,Southern Methodist University,https://dl.acm.org/profile/81351591839,"Session details: Research papers and management, case study & policy papers: emergency response and disaster management"
23,Helen Gibson,Sheffield Hallam University,https://dl.acm.org/profile/81490641510,Combining Big Social Media Data and FCA for Crisis Response
24,Simon Andrews,Sheffield Hallam University,https://dl.acm.org/profile/81472652979,Combining Big Social Media Data and FCA for Crisis Response
25,Konstantinos Domdouzis,Sheffield Hallam University,https://dl.acm.org/profile/81338488132,Combining Big Social Media Data and FCA for Crisis Response
26,Laurence Hirsch,Sheffield Hallam University,https://dl.acm.org/profile/81333488717,Combining Big Social Media Data and FCA for Crisis Response
27,Babak Akhgar,Sheffield Hallam University,https://dl.acm.org/profile/81363591156,Combining Big Social Media Data and FCA for Crisis Response
28,R. Cáceres,Google LLC,https://dl.acm.org/profile/81100464750,Statistical inference of internal network loss and topology
29,N. G. Duffield,Texas A&M University,https://dl.acm.org/profile/81100151464,Statistical inference of internal network loss and topology
30,J. Horowitz,Indian Statistical Institute (Delhi Centre),https://dl.acm.org/profile/81341491501,Statistical inference of internal network loss and topology
31,F. Lo Presti,University of Roma Tor Vergata,https://dl.acm.org/profile/81100366679,Statistical inference of internal network loss and topology
32,D. Towsley,University of Massachusetts Amherst,https://dl.acm.org/profile/81405594423,Statistical inference of internal network loss and topology
33,Niki Kyriakou,University of the Aegean,https://dl.acm.org/profile/99658702255,Economic Crisis and Enterprise Systems Adoption
34,Euripidis Loukis,University of the Aegean,https://dl.acm.org/profile/81336491061,Economic Crisis and Enterprise Systems Adoption
35,Alexandra Papanikou,University of the Aegean,https://dl.acm.org/profile/99660014793,Economic Crisis and Enterprise Systems Adoption
36,Marco Rios,EPFL,https://dl.acm.org/profile/99659758458,Error Resilient In-Memory Computing Architecture for CNN Inference on the Edge
37,Flavio Ponzina,EPFL,https://dl.acm.org/profile/99660429775,Error Resilient In-Memory Computing Architecture for CNN Inference on the Edge
38,Giovanni Ansaloni,EPFL,https://dl.acm.org/profile/81381608371,Error Resilient In-Memory Computing Architecture for CNN Inference on the Edge
39,Alexandre Levisse,EPFL,https://dl.acm.org/profile/99659370295,Error Resilient In-Memory Computing Architecture for CNN Inference on the Edge
40,David Atienza,EPFL,https://dl.acm.org/profile/81100090363,Error Resilient In-Memory Computing Architecture for CNN Inference on the Edge
41,Gaetano Manzo,University of Applied Sciences Western Switzerland,https://dl.acm.org/profile/99659037968,Situation awareness via information hovering in post-disaster communications
42,Flavien Bonvin,University of Applied Sciences Western Switzerland,https://dl.acm.org/profile/99659514115,Situation awareness via information hovering in post-disaster communications
43,Christian Esposito,University of Salerno,https://dl.acm.org/profile/81100065729,Situation awareness via information hovering in post-disaster communications
44,Torsten Braun,University of Bern,https://dl.acm.org/profile/81100147674,Situation awareness via information hovering in post-disaster communications
45,Gianluca Rizzo,University of Applied Sciences Western Switzerland,https://dl.acm.org/profile/81548032781,Situation awareness via information hovering in post-disaster communications
46,Andrea Kavanaugh,Virginia Polytechnic Institute and State University,https://dl.acm.org/profile/81100171026,Communication Behavior in an Emerging Democracy
47,Ziqian Song,Virginia Polytechnic Institute and State University,https://dl.acm.org/profile/99659174055,Communication Behavior in an Emerging Democracy
48,Liuqing Li,Virginia Polytechnic Institute and State University,https://dl.acm.org/profile/99659440182,Communication Behavior in an Emerging Democracy
49,Edward Fox,Virginia Polytechnic Institute and State University,https://dl.acm.org/profile/81339500009,Communication Behavior in an Emerging Democracy
50,Michael Noukhovitch,University of Montreal,https://dl.acm.org/profile/99659694814,Emergent Communication under Competition
51,Travis LaCroix,University of Toronto,https://dl.acm.org/profile/99659695089,Emergent Communication under Competition
52,Angeliki Lazaridou,DeepMind Technologies Limited,https://dl.acm.org/profile/81485659419,Emergent Communication under Competition
53,Aaron Courville,University of Montreal,https://dl.acm.org/profile/81100464337,Emergent Communication under Competition
54,Michael Noukhovitch,University of Montreal,https://dl.acm.org/profile/99659694814,Emergent Communication under Competition
