,title,date,article_id,url,main_topic,all_topics,authors,year
0,Investigating Older Adults' Attitudes towards Crisis Informatics Tools: Opportunities for Enhancing Community Resilience during Disasters,2022-02-22 14:30:48+00:00,0,http://arxiv.org/pdf/2202.10927v1,cs.HC,['cs.HC'],"['Nurul M Suhaimi', 'Yixuan Zhang', 'Mary Joseph', 'Miso Kim', 'Andrea G Parker', 'Jacqueline Griffin']",2022
1,A longitudinal study of emerging networks during natural disaster,2015-03-23 14:06:12+00:00,1,http://arxiv.org/pdf/1503.06641v2,cs.SI,"['cs.SI', 'physics.soc-ph']","['Alireza Abbasi', 'Liaquat Hossain', 'Naim Kapucu']",2015
2,Identifying Crisis Response Communities in Online Social Networks for Compound Disasters: The Case of Hurricane Laura and Covid-19,2022-10-23 16:55:22+00:00,2,http://arxiv.org/pdf/2210.14970v1,cs.SI,['cs.SI'],"['Khondhaker Al Momin', 'H M Imran Kays', 'Arif Mohaimin Sadri']",2022
3,Multiservice UAVs for Emergency Tasks in Post-disaster Scenarios,2019-05-14 08:38:47+00:00,3,http://arxiv.org/pdf/1905.05453v1,cs.NI,"['cs.NI', 'eess.SP']","['Francesco Malandrino', 'Cristina Rottondi', 'Carla-Fabiana Chiasserini', 'Andrea Bianco', 'Ioannis Stavrakakis']",2019
4,Nowcasting Disaster Damage,2015-04-26 14:15:36+00:00,4,http://arxiv.org/pdf/1504.06827v1,cs.SI,"['cs.SI', 'physics.soc-ph']","['Yury Kryvasheyeu', 'Haohui Chen', 'Nick Obradovich', 'Esteban Moro', 'Pascal Van Hentenryck', 'James Fowler', 'Manuel Cebrian']",2015
5,Tale of Seven Alerts: Enhancing Wireless Emergency Alerts (WEAs) to Reduce Cellular Network Usage During Disasters,2021-02-01 02:03:26+00:00,5,http://arxiv.org/pdf/2102.00589v1,cs.HC,['cs.HC'],"['Demetrios Lambropoulos', 'Mohammad Yousefvand', 'Narayan Mandayam']",2021
6,Scheduling of Emergency Tasks for Multiservice UAVs in Post-Disaster Scenarios,2020-10-20 12:50:52+00:00,6,http://arxiv.org/pdf/2010.10939v1,cs.NI,['cs.NI'],"['Cristina Rottondi', 'Francesco Malandrino', 'Andrea Bianco', 'Carla Fabiana Chiasserini', 'Ioannis Stavrakakis']",2020
7,TeamPhone: Networking Smartphones for Disaster Recovery,2016-06-10 18:25:33+00:00,7,http://arxiv.org/pdf/1606.03417v2,cs.NI,['cs.NI'],"['Zongqing Lu', 'Guohong Cao', 'Thomas La Porta']",2016
8,Policy Network Approach to Coordinated Disaster Response,2013-12-13 02:43:12+00:00,8,http://arxiv.org/pdf/1312.3693v1,cs.SI,"['cs.SI', 'cs.CY', 'physics.soc-ph']","['Kwang Deok Kim', 'Liaquat Hossain']",2013
9,Crisis Analytics: Big Data Driven Crisis Response,2016-02-25 06:07:53+00:00,9,http://arxiv.org/pdf/1602.07813v1,cs.CY,['cs.CY'],"['Junaid Qadir', 'Anwaar Ali', 'Raihan ur Rasool', 'Andrej Zwitter', 'Arjuna Sathiaseelan', 'Jon Crowcroft']",2016
10,Statistical Network Topology for Crisis Informetrics,2015-03-28 04:33:31+00:00,10,http://arxiv.org/pdf/1503.08265v1,cs.SI,['cs.SI'],"['Liaquat Hossain', 'Rolf T. Wigand', 'Shahadat Uddin']",2015
11,An Interacting Agent Model of Economic Crisis,2020-01-30 04:53:32+00:00,11,http://arxiv.org/pdf/2001.11843v1,physics.soc-ph,"['physics.soc-ph', 'econ.GN', 'q-fin.EC']",['Yuichi Ikeda'],2020
12,UAV-Empowered Disaster-Resilient Edge Architecture for Delay-Sensitive Communication,2018-09-26 07:55:59+00:00,12,http://arxiv.org/pdf/1809.09617v2,cs.NI,['cs.NI'],"['Zeeshan Kaleem', 'Muhammad Yousaf', 'Aamir Qamar', 'Ayaz Ahmad', 'Trung Q. Duong', 'Wan Choi', 'Abbas Jamalipour']",2018
13,"Post-Disaster Communications: Enabling Technologies, Architectures, and Open Challenges",2022-03-25 12:41:53+00:00,13,http://arxiv.org/pdf/2203.13621v2,cs.NI,"['cs.NI', 'eess.SP']","['Maurilio Matracia', 'Nasir Saeed', 'Mustafa A. Kishk', 'Mohamed-Slim Alouini']",2022
14,Emergent Democracy,2018-07-14 17:53:20+00:00,14,http://arxiv.org/pdf/1807.06953v1,physics.soc-ph,"['physics.soc-ph', 'cs.CY', 'cs.NI']",['Joichi Ito'],2018
15,Emergent Communication under Competition,2021-01-25 17:58:22+00:00,15,http://arxiv.org/pdf/2101.10276v1,cs.LG,"['cs.LG', 'cs.AI', 'cs.MA']","['Michael Noukhovitch', 'Travis LaCroix', 'Angeliki Lazaridou', 'Aaron Courville']",2021
16,Emergent Quantized Communication,2022-11-04 12:39:45+00:00,16,http://arxiv.org/pdf/2211.02412v2,cs.AI,"['cs.AI', 'cs.MA', '68T07', 'I.2.6']","['Boaz Carmeli', 'Ron Meir', 'Yonatan Belinkov']",2022
17,The Accounting Network: how financial institutions react to systemic crisis,2016-05-06 15:35:35+00:00,17,http://arxiv.org/pdf/1605.01976v1,q-fin.GN,"['q-fin.GN', 'physics.soc-ph']","['Andrea Flori', 'Giuseppe Pappalardo', 'Michelangelo Puliga', 'Alessandro Chessa', 'Fabio Pammolli']",2016
18,Crisis Communication Patterns in Social Media during Hurricane Sandy,2017-10-05 05:32:07+00:00,18,http://arxiv.org/pdf/1710.01887v1,cs.SI,['cs.SI'],"['Arif Mohaimin Sadri', 'Samiul Hasan', 'Satish V. Ukkusuri', 'Manuel Cebrian']",2017
19,Disaster Tweets Classification using BERT-Based Language Model,2022-01-31 10:25:29+00:00,19,http://arxiv.org/pdf/2202.00795v1,cs.CL,"['cs.CL', 'cs.AI', 'cs.LG']",['Anh Duc Le'],2022
20,Planning UAV Activities for Efficient User Coverage in Disaster Areas,2018-11-29 19:40:32+00:00,20,http://arxiv.org/pdf/1811.12450v3,cs.NI,['cs.NI'],"['Francesco Malandrino', 'Carla-Fabiana Chiasserini', 'Claudio Casetti', 'Luca Chiaraviglio', 'Andrea Senacheribbe']",2018
21,Customising Agent Based Analysis Towards Analysis of Disaster Management Knowledge,2017-02-26 02:55:12+00:00,21,http://arxiv.org/pdf/1702.07979v1,cs.SE,['cs.SE'],"['Dedi Iskandar Inan', 'Ghassan Beydoun', 'Simon Opper']",2017
22,Emergent Communication through Negotiation,2018-04-11 13:48:08+00:00,22,http://arxiv.org/pdf/1804.03980v1,cs.AI,"['cs.AI', 'cs.CL', 'cs.LG', 'cs.MA']","['Kris Cao', 'Angeliki Lazaridou', 'Marc Lanctot', 'Joel Z Leibo', 'Karl Tuyls', 'Stephen Clark']",2018
23,Domestic Constraints in Crisis Bargaining,2021-10-28 08:15:30+00:00,23,http://arxiv.org/pdf/2110.14938v3,econ.GN,"['econ.GN', 'q-fin.EC']",['Liqun Liu'],2021
24,Enabling Disaster Resilient 4G Mobile Communication Networks,2014-06-04 02:42:12+00:00,24,http://arxiv.org/pdf/1406.0928v1,cs.NI,['cs.NI'],"['Karina Gomez', 'Leonardo Goratti', 'Tinku Rasheed', 'Laurent Reynaud']",2014
25,Towards a Multiagent Decision Support System for crisis Management,2014-05-31 09:57:02+00:00,25,http://arxiv.org/pdf/1406.0062v1,cs.AI,['cs.AI'],"['Fahem Kebair', 'Frédéric Serin']",2014
26,Transformer-based Multi-task Learning for Disaster Tweet Categorisation,2021-10-15 11:13:46+00:00,26,http://arxiv.org/pdf/2110.08010v1,cs.CL,['cs.CL'],"['Congcong Wang', 'Paul Nulty', 'David Lillis']",2021
27,Universality of population recovery patterns after disasters,2019-05-06 02:48:43+00:00,27,http://arxiv.org/pdf/1905.01804v1,physics.soc-ph,"['physics.soc-ph', 'cs.SI']","['Takahiro Yabe', 'Kota Tsubouchi', 'Naoya Fujiwara', 'Yoshihide Sekimoto', 'Satish V. Ukkusuri']",2019
28,Benchmarking micro-core architectures for detecting disasters at the edge,2020-11-10 09:04:47+00:00,28,http://arxiv.org/pdf/2011.04983v1,cs.DC,['cs.DC'],"['Maurice Jamieson', 'Nick Brown']",2020
29,"GaLeNet: Multimodal Learning for Disaster Prediction, Management and Relief",2022-06-18 16:45:57+00:00,29,http://arxiv.org/pdf/2206.09242v1,cs.CV,"['cs.CV', 'cs.LG']","['Rohit Saha', 'Mengyi Fang', 'Angeline Yasodhara', 'Kyryl Truskovskyi', 'Azin Asgarian', 'Daniel Homola', 'Raahil Shah', 'Frederik Dieleman', 'Jack Weatheritt', 'Thomas Rogers']",2022
30,Internet of Things (IoT) and Cloud Computing Enabled Disaster Management,2018-06-20 03:00:29+00:00,30,http://arxiv.org/pdf/1806.07530v1,cs.CY,"['cs.CY', 'cs.CR', 'cs.DC']","['Raj Gaire', 'Chigulapalli Sriharsha', 'Deepak Puthal', 'Hendra Wijaya', 'Jongkil Kim', 'Prateeksha Keshari', 'Rajiv Ranjan', 'Rajkumar Buyya', 'Ratan K. Ghosh', 'R. K. Shyamasundar', 'Surya Nepal']",2018
31,Generalizing Emergent Communication,2020-01-06 20:48:42+00:00,31,http://arxiv.org/pdf/2001.01772v3,cs.AI,['cs.AI'],"['Thomas A. Unger', 'Elia Bruni']",2020
32,Optimal Organizational Hierarchies: Source Coding: Disaster Relief,2011-11-26 10:29:08+00:00,32,http://arxiv.org/pdf/1111.6149v1,cs.NI,['cs.NI'],['G. Rama Murthy'],2011
33,Crisis Domain Adaptation Using Sequence-to-sequence Transformers,2021-10-15 11:19:28+00:00,33,http://arxiv.org/pdf/2110.08015v1,cs.CL,['cs.CL'],"['Congcong Wang', 'Paul Nulty', 'David Lillis']",2021
34,On the Topological Aspects of UAV-Assisted Post-Disaster Wireless Communication Networks,2021-09-28 12:44:08+00:00,34,http://arxiv.org/pdf/2109.13671v1,eess.SP,['eess.SP'],"['Maurilio Matracia', 'Mustafa A. Kishk', 'Mohamed-Slim Alouini']",2021
35,Emergent Communication of Generalizations,2021-06-04 19:02:18+00:00,35,http://arxiv.org/pdf/2106.02668v2,cs.CL,"['cs.CL', 'cs.AI']","['Jesse Mu', 'Noah Goodman']",2021
36,Bluemergency: Mediating Post-disaster Communication Systems using the Internet of Things and Bluetooth Mesh,2019-09-10 10:59:10+00:00,36,http://arxiv.org/pdf/1909.08094v1,cs.NI,['cs.NI'],"['Flor Álvarez', 'Lars Almon', 'Hauke Radtki', 'Matthias Hollick']",2019
37,"Research Agenda in Intelligent Infrastructure to Enhance Disaster Management, Community Resilience and Public Safety",2017-05-04 19:35:06+00:00,37,http://arxiv.org/pdf/1705.01985v1,cs.CY,['cs.CY'],"['Michael Dunaway', 'Robin Murphy', 'Nalini Venkatasubramanian', 'Leysia Palen', 'Daniel Lopresti']",2017
38,Exception Handling on Multiparty Interactions,2021-11-05 20:29:45+00:00,38,http://arxiv.org/pdf/2111.03720v1,cs.PL,['cs.PL'],"['Brian Randell', 'Avelino Francisco Zorzo']",2021
39,A Modified Approximate Dynamic Programming Algorithm for Community-level Food Security Following Disasters,2018-04-01 02:23:02+00:00,39,http://arxiv.org/pdf/1804.00250v2,cs.CE,"['cs.CE', 'cs.SY']","['Saeed Nozhati', 'Yugandhar Sarkale', 'Bruce R. Ellingwood', 'Edwin K. P. Chong', 'Hussam Mahmoud']",2018
40,Detecting Perceived Emotions in Hurricane Disasters,2020-04-29 16:17:49+00:00,40,http://arxiv.org/pdf/2004.14299v1,cs.CL,"['cs.CL', 'cs.CY']","['Shrey Desai', 'Cornelia Caragea', 'Junyi Jessy Li']",2020
41,Operational semantics for signal handling,2012-08-14 01:52:37+00:00,41,http://arxiv.org/pdf/1208.2754v1,cs.PL,"['cs.PL', 'cs.LO', 'D.3.1; D.3.3']","['Maxim Strygin', 'Hayo Thielecke']",2012
42,Handling Wikidata Qualifiers in Reasoning,2023-04-06 21:05:52+00:00,42,http://arxiv.org/pdf/2304.03375v1,cs.AI,['cs.AI'],"['Sahar Aljalbout', 'Gilles Falquet', 'Didier Buchs']",2023
43,Effect Handling for Composable Program Transformations in Edward2,2018-11-15 02:51:29+00:00,43,http://arxiv.org/pdf/1811.06150v1,cs.PL,"['cs.PL', 'cs.LG', 'stat.CO']","['Dave Moore', 'Maria I. Gorinova']",2018
44,Entropy Minimization In Emergent Languages,2019-05-31 15:54:41+00:00,44,http://arxiv.org/pdf/1905.13687v3,cs.CL,"['cs.CL', 'cs.LG']","['Eugene Kharitonov', 'Rahma Chaabouni', 'Diane Bouchacourt', 'Marco Baroni']",2019
45,Unveiling Spatial Patterns of Disaster Impacts and Recovery Using Credit Card Transaction Variances,2021-01-15 16:06:33+00:00,45,http://arxiv.org/pdf/2101.10090v1,cs.CY,"['cs.CY', 'econ.GN', 'physics.soc-ph', 'q-fin.EC']","['Faxi Yuan', 'Amir Esmalian', 'Bora Oztekin', 'Ali Mostafavi']",2021
46,Global Internet-based Crisis Communication: A case Study on SARS,2014-06-27 00:38:35+00:00,46,http://arxiv.org/pdf/1406.7048v1,cs.CY,['cs.CY'],['Ong Sing Goh'],2014
47,The Emerging Scholarly Brain,2010-08-04 17:11:18+00:00,47,http://arxiv.org/pdf/1008.0826v1,physics.soc-ph,"['physics.soc-ph', 'astro-ph.IM', 'cs.DL', 'cs.IR']",['Michael J. Kurtz'],2010
48,Emergency Response Communications and Associated Security Challenges,2010-10-23 15:24:22+00:00,48,http://arxiv.org/pdf/1010.4887v1,cs.NI,['cs.NI'],"['Muhammad Ibrahim Channa', 'Kazi M. Ahmed']",2010
49,Behavior of Wireless Body-to-Body Networks Routing Strategies for Public Protection and Disaster Relief,2017-11-29 13:21:46+00:00,49,http://arxiv.org/pdf/1711.10838v1,cs.NI,"['cs.NI', 'cs.DC']","['Dhafer Ben Arbia', 'Muhammad Mahtab Alam', 'Rabah Attia', 'Elyes Hamida']",2017
50,Computing Research for the Climate Crisis,2021-08-12 18:59:12+00:00,50,http://arxiv.org/pdf/2108.05926v2,cs.CY,['cs.CY'],"['Nadya Bliss', 'Elizabeth Bradley', 'Claire Monteleoni']",2021
51,Emergence of collective memories,2010-08-15 02:30:06+00:00,51,http://arxiv.org/pdf/1008.2489v1,physics.soc-ph,"['physics.soc-ph', 'q-bio.PE']","['Sungmin Lee', 'Verónica C Ramenzoni', 'Petter Holme']",2010
52,Emergent Discrete Communication in Semantic Spaces,2021-08-04 03:32:48+00:00,52,http://arxiv.org/pdf/2108.01828v3,cs.LG,"['cs.LG', 'cs.CL', 'cs.MA', 'cs.RO']","['Mycal Tucker', 'Huao Li', 'Siddharth Agrawal', 'Dana Hughes', 'Katia Sycara', 'Michael Lewis', 'Julie Shah']",2021
53,Communication of Statistics and Evidence in Times of Crisis,2023-04-04 13:33:03+00:00,53,http://arxiv.org/pdf/2304.01789v1,stat.OT,['stat.OT'],"['Claudia R Schneider', 'John R Kerr', 'Sarah Dryhurst', 'John A D Aston']",2023
